"store_id","merchant_name","province_name","location_name","merchant_storeid"
1,"Superstore","British Columbia","GRANDVIEW - VANCOUVER","1077"
2,"Superstore","Alberta","EAST VILLAGE - CALGARY","1590"
3,"Superstore","Manitoba","MCPHILLIPS - WINNIPEG","1505"
4,"Superstore","Ontario","DON MILLS AND EGLINTON","1077"
5,"Superstore","Saskatchewan","GOLDEN MILE","1533"
6,"No Frills","British Columbia","BRANDON & JOANNY'S NOFRILLS VANCOUVER","3641"
7,"No Frills","Alberta","STEVE'S NOFRILLS SPRUCE GROVE","3628"
8,"No Frills","Manitoba","CHRIS' NOFRILLS WINNIPEG","7141"
9,"No Frills","Saskatchewan","CRAWFORD'S NOFRILLS REGINA","3978"
10,"No Frills","Ontario","ROCCO'S NOFRILLS TORONTO","3643"
11,"Save-On-Foods","British Columbia","Capilano","2249"
12,"Save-On-Foods","Alberta","Calgary - Richmond Square","6633"
13,"Save-On-Foods","Manitoba","St James","4415"
14,"Save-On-Foods","Saskatchewan","Regina South","5505"
15,"IGA_BC","British Columbia","IGA - Port Moody - Newport (221 Ioco Road)","port_moody"
