"product_name","unit_price","total_price","size_amount","unit_name","store_id","image_url","merchant_productid","brand_name"
"White Bread Sliced Plain 450 g",NULL,"$2.39",450.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/249bc6f1-18c1-4317-85b7-7b0eb73ffd1c/300x300.jpg","fcee742c-0dd9-4891-9fe0-4c89e2eac069","None"
"Compliments Enriched White Bread Plain 570 g",NULL,"$2.49",570.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/790e7773-3a6c-4c46-a1d8-4d7d43c8181d/300x300.jpg","9ef81076-7fa0-4fd6-9045-05468ce45ddf","Compliments"
"Dempster's White Bread Stay Fresh 570 g",NULL,"$3.99",570.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/79d5fde9-6f57-48ac-90d2-5e7973d41796/300x300.jpg","89ea7fbd-090f-4f1a-a4c8-aa9a8610f6f0","Dempster's"
"Villaggio White Bread Italian Style 510 g",NULL,"$4.49",510.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/8b26150f-fecf-4328-bc8e-9a002df0f876/300x300.jpg","78623164-75cd-448a-8a79-18e7b7bc855d","Villaggio"
"Compliments Sandwich Bread White 675 g",NULL,"$3.69",675.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/ef5f7132-188d-4ad6-a81c-afc9a04f78be/300x300.jpg","a29d7de3-d0f6-4f14-92ac-c94ff84edb89","Compliments"
"Villaggio Artesano White Bread 540 g",NULL,"$4.49",540.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/cbb918b9-0e2c-4853-b5d8-e9e92e8fdf88/300x300.jpg","886046dd-765d-4099-a97c-5159dc5f8fb2","Villaggio"
"White Bread 450 g",NULL,"$2.39",450.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/eb1f5245-10a1-4674-8e7f-86f69e91a7b2/300x300.jpg","ffd7a95b-ef3c-4111-aca6-8df1e157caf6","None"
"Butter Crust FD Bread 450 g",NULL,"$4.49",450.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/f19d5eda-80a2-458a-88ef-edc70d335291/300x300.jpg","39648f0f-42ac-4280-bfc3-917f4213b044","None"
"Butter Crust Bread 450 g",NULL,"$4.49",450.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/c34bd975-a07e-4761-b9bd-0572ca7bce55/300x300.jpg","521d3126-5025-4689-a48d-d356637d2039","None"
"Dempster's Signature Bread Sesame White 600 g",NULL,"$5.49",600.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/bb97c563-f041-41fd-9b6b-78b33127d0e8/300x300.jpg","8fdc7a43-cda9-402f-b267-84d93e60483d","Dempster's"
